ID,Realm,Subrealm,Kingdom,Subkingdom,Phylum,Subphylum,Class,Subclass,Order,Suborder,Family,Subfamily,Genus,Subgenus,Species,Rank,TaxonName,Lineage
1,Adnaviria,,,,,,,,,,,,,,,Realm,Adnaviria,Adnaviria
2,Adnaviria,,Zilligvirae,,,,,,,,,,,,,Kingdom,Zilligvirae,Adnaviria;Zilligvirae
3,Adnaviria,,Zilligvirae,,Taleaviricota,,,,,,,,,,,Phylum,Taleaviricota,Adnaviria;Zilligvirae;Taleaviricota
4,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,,,,,,,,Class,Tokiviricetes,Adnaviria;Zilligvirae;Taleaviricota;Tokiviricetes
5,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,,,,,,Order,Ligamenvirales,Adnaviria;Zilligvirae;Taleaviricota;Tokiviricetes;Ligamenvirales
6,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Lipothrixviridae,,,,,Family,Lipothrixviridae,Adnaviria;Zilligvirae;Taleaviricota;Tokiviricetes;Ligamenvirales;Lipothrixviridae
7,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Lipothrixviridae,,Alphalipothrixvirus,,,Genus,Alphalipothrixvirus,Adnaviria;Zilligvirae;Taleaviricota;Tokiviricetes;Ligamenvirales;Lipothrixviridae;Alphalipothrixvirus
8,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Lipothrixviridae,,Alphalipothrixvirus,,Alphalipothrixvirus SBFV2,Species,Alphalipothrixvirus SBFV2,Adnaviria;Zilligvirae;Taleaviricota;Tokiviricetes;Ligamenvirales;Lipothrixviridae;Alphalipothrixvirus;Alphalipothrixvirus SBFV2
9,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Lipothrixviridae,,Alphalipothrixvirus,,Alphalipothrixvirus SFV1,Species,Alphalipothrixvirus SFV1,Adnaviria;Zilligvirae;Taleaviricota;Tokiviricetes;Ligamenvirales;Lipothrixviridae;Alphalipothrixvirus;Alphalipothrixvirus SFV1
10,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Lipothrixviridae,,Betalipothrixvirus,,,Genus,Betalipothrixvirus,Adnaviria;Zilligvirae;Taleaviricota;Tokiviricetes;Ligamenvirales;Lipothrixviridae;Betalipothrixvirus
11,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Lipothrixviridae,,Betalipothrixvirus,,Acidianus filamentous virus 3,Species,Acidianus filamentous virus 3,Adnaviria;Zilligvirae;Taleaviricota;Tokiviricetes;Ligamenvirales;Lipothrixviridae;Betalipothrixvirus;Acidianus filamentous virus 3
12,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Lipothrixviridae,,Betalipothrixvirus,,Acidianus filamentous virus 6,Species,Acidianus filamentous virus 6,Adnaviria;Zilligvirae;Taleaviricota;Tokiviricetes;Ligamenvirales;Lipothrixviridae;Betalipothrixvirus;Acidianus filamentous virus 6
13,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Lipothrixviridae,,Betalipothrixvirus,,Acidianus filamentous virus 7,Species,Acidianus filamentous virus 7,Adnaviria;Zilligvirae;Taleaviricota;Tokiviricetes;Ligamenvirales;Lipothrixviridae;Betalipothrixvirus;Acidianus filamentous virus 7
14,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Lipothrixviridae,,Betalipothrixvirus,,Acidianus filamentous virus 8,Species,Acidianus filamentous virus 8,Adnaviria;Zilligvirae;Taleaviricota;Tokiviricetes;Ligamenvirales;Lipothrixviridae;Betalipothrixvirus;Acidianus filamentous virus 8
15,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Lipothrixviridae,,Betalipothrixvirus,,Acidianus filamentous virus 9,Species,Acidianus filamentous virus 9,Adnaviria;Zilligvirae;Taleaviricota;Tokiviricetes;Ligamenvirales;Lipothrixviridae;Betalipothrixvirus;Acidianus filamentous virus 9
16,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Lipothrixviridae,,Betalipothrixvirus,,Sulfolobus islandicus filamentous virus,Species,Sulfolobus islandicus filamentous virus,Adnaviria;Zilligvirae;Taleaviricota;Tokiviricetes;Ligamenvirales;Lipothrixviridae;Betalipothrixvirus;Sulfolobus islandicus filamentous virus
17,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Lipothrixviridae,,Deltalipothrixvirus,,,Genus,Deltalipothrixvirus,Adnaviria;Zilligvirae;Taleaviricota;Tokiviricetes;Ligamenvirales;Lipothrixviridae;Deltalipothrixvirus
18,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Lipothrixviridae,,Deltalipothrixvirus,,Acidianus filamentous virus 2,Species,Acidianus filamentous virus 2,Adnaviria;Zilligvirae;Taleaviricota;Tokiviricetes;Ligamenvirales;Lipothrixviridae;Deltalipothrixvirus;Acidianus filamentous virus 2
19,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Lipothrixviridae,,Deltalipothrixvirus,,Deltalipothrixvirus SBFV3,Species,Deltalipothrixvirus SBFV3,Adnaviria;Zilligvirae;Taleaviricota;Tokiviricetes;Ligamenvirales;Lipothrixviridae;Deltalipothrixvirus;Deltalipothrixvirus SBFV3
20,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Lipothrixviridae,,Gammalipothrixvirus,,,Genus,Gammalipothrixvirus,Adnaviria;Zilligvirae;Taleaviricota;Tokiviricetes;Ligamenvirales;Lipothrixviridae;Gammalipothrixvirus
21,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Lipothrixviridae,,Gammalipothrixvirus,,Acidianus filamentous virus 1,Species,Acidianus filamentous virus 1,Adnaviria;Zilligvirae;Taleaviricota;Tokiviricetes;Ligamenvirales;Lipothrixviridae;Gammalipothrixvirus;Acidianus filamentous virus 1
